NOM,IMAGE,ALT,ANNÉE · ÉVÉNEMENT,TEXTE ÉVÉNEMENT,BADGE,FEATURED (OUI/NON),ACTIF (OUI/NON),ORDRE
Gazo,uploads/cap-145216.png,Gazo,2026 · How We Dau,Showcase exclusif · Paris Dauphine,Édition 2026,OUI,OUI,1
Maître Gims,uploads/cap-144920.png,Maître Gims,2025 · How We Dau,Showcase · Paris Dauphine,Édition 2025,NON,OUI,2
SCH,uploads/cap-145000.png,SCH,2023 · How We Dau,Showcase · Paris Dauphine,Édition 2023,NON,OUI,3
Laylow,uploads/cap-145018.png,Laylow,2022 · How We Dau,Showcase · Paris Dauphine,Édition 2022,NON,OUI,4
Djadja & Dinaz,uploads/cap-145101.png,Djadja & Dinaz,2022 · How We Dau,Showcase · Paris Dauphine,Édition 2022,NON,OUI,5
PLK · SDM,uploads/cap-145204.png,PLK & SDM,2021 · How We Dau,Showcase · Paris Dauphine,Édition 2021,NON,OUI,6
VANCO,uploads/DSC05863-scaled.jpg,Nuit Dauphine VANCO,2026 · Nuit Dauphine,Nuit Dauphine · Club parisien,Édition 2026,NON,OUI,7
